DynamicHysteresisResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	
1.000000e+000	1.887090e+002	-1.858090e+002	2.959000e-001	-3.013730e-001	2.190330e-001	-2.151130e-001	7.747650e-001	3.406190e-001	4.341460e-001	3.410640e+002	1.450060e+000	3.157350e+006	9.394090e-010	3.176180e+003	0.000000e+000	5.042670e+002	-4.989070e+002	5.596520e-001	-5.596520e-001	3.373550e-004	-3.434300e-004	1.000000e+002	5.000000e+002	5.000000e+000	1.000000e+000	
2.000000e+000	1.849820e+002	-1.914890e+002	2.372020e-001	-3.466340e-001	1.510190e-001	-1.011300e-001	4.880020e-001	2.358530e-001	2.521490e-001	2.783310e+002	-3.253780e+000	3.273820e+005	6.740420e-010	2.278960e+003	0.000000e+000	3.804850e+002	-4.119960e+002	3.868720e-001	-3.868720e-001	2.235410e-003	-2.352640e-003	1.000000e+003	5.000000e+002	4.000000e+000	1.000000e+000	
3.000000e+000	1.720340e+002	-1.716800e+002	3.053230e-001	-2.984790e-001	2.454170e-001	-2.368080e-001	8.390880e-001	3.568640e-001	4.822240e-001	3.402340e+002	1.766510e-001	3.125110e+007	1.036580e-009	3.504720e+003	0.000000e+000	5.020460e+002	-4.971570e+002	6.022810e-001	-6.022810e-001	3.689000e-005	-3.675320e-005	1.000000e+001	5.000000e+002	6.000000e+000	1.000000e+000	
4.000000e+000	1.701350e+002	-1.689060e+002	3.406390e-001	-3.327350e-001	2.944530e-001	-2.836550e-001	9.458410e-001	3.677330e-001	5.781070e-001	3.788670e+002	6.146670e-001	2.806040e+008	1.147450e-009	3.879580e+003	0.000000e+000	5.004330e+002	-4.958650e+002	6.621860e-001	-6.621860e-001	4.286540e-006	-4.266760e-006	1.000000e+000	5.000000e+002	7.000000e+000	1.000000e+000	

DynamicHysteresis
Program: aixPlorer Software version 3.0.63.0
TimeStamp: 02/15/2024 15:10:48
TfaModule: DHM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.7.0

Table 1
Timestamp: 02/15/2024 15:13:37
TableVersion: 4.7.0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO_500V_100Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Hysteresis Frequency [Hz]: 100
Hysteresis Amplitude [V]: 500
Cls [F]: 9.39409e-010
Epsls [1]: 3176.18
Vc+ [V]: 188.709
Vc- [V]: -185.809
Pr+ [uC/cm2]: 0.2959
Pr- [uC/cm2]: -0.301373
Prrel+ [uC/cm2]: 0.219033
Prrel- [uC/cm2]: -0.215113
Wloss [uJ/cm2]: 341.064
VcShift [V]: 1.45006
Vmax+ [V]: 504.267
Vmax- [V]: -498.907
Pvmax+ [uC/cm2]: 0.559652
Pvmax- [uC/cm2]: -0.559652
Ipk+ [A]: 0.000337355
Ipk- [A]: -0.00034343
Psw [uC/cm2]: 0.774765
Pnsw [uC/cm2]: 0.340619
dPsw [uC/cm2]: 0.434146
Rav [Ohm]: 3.15735e+006
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	
9.325000e-003	-1.412030e+002	1.444838e+002	1.087381e-004	-4.273607e-001	1.087381e-004	-4.265239e-001	-1.079491e-004	4.242181e-001	
9.350000e-003	-1.349925e+002	1.396496e+002	1.113058e-004	-4.238568e-001	1.113058e-004	-4.230201e-001	-1.112947e-004	4.207269e-001	
9.375000e-003	-1.307196e+002	1.350427e+002	1.127938e-004	-4.202884e-001	1.127938e-004	-4.194516e-001	-1.121280e-004	4.171692e-001	
9.400000e-003	-1.257953e+002	1.297678e+002	1.143477e-004	-4.166715e-001	1.143477e-004	-4.158347e-001	-1.154152e-004	4.135459e-001	
9.425000e-003	-1.200041e+002	1.246304e+002	1.169717e-004	-4.129880e-001	1.169717e-004	-4.121513e-001	-1.179819e-004	4.098294e-001	
9.450000e-003	-1.164797e+002	1.202035e+002	1.177210e-004	-4.092509e-001	1.177210e-004	-4.084141e-001	-1.180245e-004	4.060714e-001	
9.475000e-003	-1.113588e+002	1.149736e+002	1.210135e-004	-4.054494e-001	1.210135e-004	-4.046126e-001	-1.214933e-004	4.022574e-001	
9.500000e-003	-1.058637e+002	1.098267e+002	1.222520e-004	-4.015757e-001	1.222520e-004	-4.007390e-001	-1.224298e-004	3.983733e-001	
9.525000e-003	-1.009915e+002	1.032231e+002	1.253624e-004	-3.976328e-001	1.253624e-004	-3.967961e-001	-1.254341e-004	3.944264e-001	
9.550000e-003	-9.636330e+001	1.005371e+002	1.276533e-004	-3.936039e-001	1.276533e-004	-3.927671e-001	-1.272055e-004	3.904035e-001	
9.575000e-003	-9.105767e+001	9.403299e+001	1.294028e-004	-3.895107e-001	1.294028e-004	-3.886739e-001	-1.284559e-004	3.863324e-001	
9.600000e-003	-8.600548e+001	9.032141e+001	1.329464e-004	-3.853331e-001	1.329464e-004	-3.844964e-001	-1.317550e-004	3.821889e-001	
9.625000e-003	-8.164255e+001	8.536870e+001	1.344046e-004	-3.810759e-001	1.344046e-004	-3.802392e-001	-1.326824e-004	3.779781e-001	
9.650000e-003	-7.743831e+001	8.000623e+001	1.377127e-004	-3.767429e-001	1.377127e-004	-3.759061e-001	-1.359951e-004	3.736998e-001	
9.675000e-003	-7.236244e+001	7.517432e+001	1.393831e-004	-3.723305e-001	1.393831e-004	-3.714938e-001	-1.393304e-004	3.693157e-001	
9.700000e-003	-6.598384e+001	6.889757e+001	1.415636e-004	-3.678568e-001	1.415636e-004	-3.670201e-001	-1.403641e-004	3.648619e-001	
9.725000e-003	-6.133904e+001	6.417935e+001	1.455016e-004	-3.632857e-001	1.455016e-004	-3.624490e-001	-1.449669e-004	3.603185e-001	
9.750000e-003	-5.646450e+001	6.054357e+001	1.468102e-004	-3.586311e-001	1.468102e-004	-3.577943e-001	-1.454587e-004	3.556938e-001	
9.775000e-003	-5.103097e+001	5.466238e+001	1.502241e-004	-3.539012e-001	1.502241e-004	-3.530645e-001	-1.498797e-004	3.509910e-001	
9.800000e-003	-4.623458e+001	5.039419e+001	1.522849e-004	-3.490842e-001	1.522849e-004	-3.482475e-001	-1.518607e-004	3.461862e-001	
9.825000e-003	-4.157321e+001	4.518804e+001	1.553577e-004	-3.441854e-001	1.553577e-004	-3.433487e-001	-1.537272e-004	3.413202e-001	
9.850000e-003	-3.586729e+001	4.042245e+001	1.590320e-004	-3.391792e-001	1.590320e-004	-3.383425e-001	-1.578757e-004	3.363583e-001	
9.875000e-003	-3.260575e+001	3.517603e+001	1.612518e-004	-3.340792e-001	1.612518e-004	-3.332424e-001	-1.600605e-004	3.312957e-001	
9.900000e-003	-2.597371e+001	2.973776e+001	1.656957e-004	-3.288730e-001	1.656957e-004	-3.280363e-001	-1.637005e-004	3.261402e-001	
9.925000e-003	-2.173395e+001	2.509534e+001	1.683801e-004	-3.235533e-001	1.683801e-004	-3.227166e-001	-1.668121e-004	3.208773e-001	
9.950000e-003	-1.583380e+001	2.110190e+001	1.711868e-004	-3.181462e-001	1.711868e-004	-3.173095e-001	-1.691569e-004	3.155275e-001	
9.975000e-003	-1.070345e+001	1.517097e+001	1.752886e-004	-3.126291e-001	1.752886e-004	-3.117923e-001	-1.747017e-004	3.100520e-001	
1.000000e-002	-6.416310e+000	1.061144e+001	1.767283e-004	-3.070237e-001	1.767283e-004	-3.061870e-001	-1.758199e-004	3.044705e-001	

Table 2
Timestamp: 02/15/2024 15:14:54
TableVersion: 4.7.0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO_500V_1kHz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Number Of Ceramic Layers: 1
Current Range: 4 (10mA)
Hysteresis Frequency [Hz]: 1000
Hysteresis Amplitude [V]: 500
Cls [F]: 6.74042e-010
Epsls [1]: 2278.96
Vc+ [V]: 184.982
Vc- [V]: -191.489
Pr+ [uC/cm2]: 0.237202
Pr- [uC/cm2]: -0.346634
Prrel+ [uC/cm2]: 0.151019
Prrel- [uC/cm2]: -0.10113
Wloss [uJ/cm2]: 278.331
VcShift [V]: -3.25378
Vmax+ [V]: 380.485
Vmax- [V]: -411.996
Pvmax+ [uC/cm2]: 0.386872
Pvmax- [uC/cm2]: -0.386872
Ipk+ [A]: 0.00223541
Ipk- [A]: -0.00235264
Psw [uC/cm2]: 0.488002
Pnsw [uC/cm2]: 0.235853
dPsw [uC/cm2]: 0.252149
Rav [Ohm]: 327382
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	
0.000000e+000	2.462792e+000	3.219091e+000	6.509407e-004	-3.466336e-001	-2.254750e-005	-1.011296e-001	-2.409928e-005	1.510194e-001	
2.500000e-006	2.232147e+000	9.573451e-001	6.526103e-004	-3.445579e-001	-2.162765e-005	-1.012000e-001	-2.297569e-005	1.509444e-001	
5.000000e-006	1.718114e+000	2.663935e+000	6.821029e-004	-3.424325e-001	-1.750827e-005	-1.012623e-001	-2.546648e-005	1.508673e-001	
7.500000e-006	3.445266e+000	2.170463e+000	6.956038e-004	-3.402387e-001	-1.612601e-005	-1.013158e-001	-2.747827e-005	1.507830e-001	
1.000000e-005	6.215101e-001	7.311705e-001	7.084273e-004	-3.380030e-001	1.008439e-006	-1.013399e-001	-4.860894e-005	1.506618e-001	
1.250000e-005	3.225945e+000	1.594746e+000	7.205254e-004	-3.357276e-001	1.641165e-005	-1.013122e-001	-6.343051e-005	1.504834e-001	
1.500000e-005	3.062364e-001	4.021892e-001	7.333900e-004	-3.334125e-001	2.902984e-005	-1.012398e-001	-7.884057e-005	1.502568e-001	
1.750000e-005	3.417851e+000	5.118497e-001	7.478078e-004	-3.310539e-001	4.353664e-005	-1.011243e-001	-9.360741e-005	1.499822e-001	
2.000000e-005	6.543173e+000	-4.457138e+000	7.602618e-004	-3.286525e-001	5.750971e-005	-1.009634e-001	-1.118367e-004	1.496551e-001	
2.250000e-005	8.613013e+000	-5.992384e+000	7.704234e-004	-3.262151e-001	7.184544e-005	-1.007574e-001	-1.297444e-004	1.492704e-001	
2.500000e-005	9.887815e+000	-6.725738e+000	7.917456e-004	-3.237275e-001	7.944099e-005	-1.005165e-001	-1.392559e-004	1.488421e-001	
2.750000e-005	1.299943e+001	-9.138267e+000	8.048839e-004	-3.211851e-001	1.043557e-004	-1.002238e-001	-1.704661e-004	1.483489e-001	
3.000000e-005	1.312280e+001	-9.659154e+000	8.190759e-004	-3.185992e-001	1.162896e-004	-9.987246e-002	-1.880796e-004	1.477780e-001	
3.250000e-005	1.486366e+001	-1.093396e+001	8.339796e-004	-3.159670e-001	1.295853e-004	-9.948094e-002	-2.080127e-004	1.471472e-001	
3.500000e-005	1.559016e+001	-1.234583e+001	8.486643e-004	-3.132876e-001	1.465555e-004	-9.904122e-002	-2.261873e-004	1.464558e-001	
3.750000e-005	2.005882e+001	-1.689674e+001	8.673110e-004	-3.105551e-001	1.603370e-004	-9.855254e-002	-2.459562e-004	1.457040e-001	
4.000000e-005	2.226573e+001	-1.880895e+001	8.762615e-004	-3.077788e-001	1.754049e-004	-9.801792e-002	-2.579996e-004	1.449015e-001	
4.250000e-005	2.506208e+001	-2.129001e+001	8.978095e-004	-3.049538e-001	1.887963e-004	-9.743798e-002	-2.746277e-004	1.440534e-001	
4.500000e-005	2.609700e+001	-2.383276e+001	9.177359e-004	-3.020628e-001	1.974456e-004	-9.682295e-002	-2.847825e-004	1.431626e-001	
4.750000e-005	2.878368e+001	-2.649203e+001	9.346650e-004	-2.991131e-001	2.250838e-004	-9.615013e-002	-3.217406e-004	1.421968e-001	
5.000000e-005	2.983916e+001	-2.837682e+001	9.504720e-004	-2.961113e-001	2.389200e-004	-9.541127e-002	-3.412153e-004	1.411412e-001	
5.250000e-005	3.186788e+001	-3.085788e+001	9.669564e-004	-2.930581e-001	2.532284e-004	-9.462759e-002	-3.622844e-004	1.400209e-001	
5.500000e-005	3.563745e+001	-3.499756e+001	9.832834e-004	-2.899526e-001	2.717998e-004	-9.379156e-002	-3.823613e-004	1.388352e-001	
5.750000e-005	3.842009e+001	-3.824625e+001	9.923364e-004	-2.868067e-001	2.862724e-004	-9.290291e-002	-4.051342e-004	1.375812e-001	
6.000000e-005	4.087374e+001	-4.036407e+001	1.026058e-003	-2.835927e-001	3.019836e-004	-9.196620e-002	-4.233088e-004	1.362620e-001	
6.250000e-005	4.360154e+001	-4.336602e+001	1.043678e-003	-2.802970e-001	3.103113e-004	-9.099121e-002	-4.380893e-004	1.348904e-001	
6.500000e-005	4.646642e+001	-4.486700e+001	1.058842e-003	-2.769490e-001	3.415420e-004	-8.995322e-002	-4.820066e-004	1.334253e-001	
6.750000e-005	4.942725e+001	-4.966465e+001	1.072959e-003	-2.735544e-001	3.587996e-004	-8.883803e-002	-5.045674e-004	1.318543e-001	
7.000000e-005	5.213449e+001	-5.088462e+001	1.087890e-003	-2.701136e-001	3.785207e-004	-8.766395e-002	-5.280794e-004	1.302100e-001	
7.250000e-005	5.478005e+001	-5.481868e+001	1.104744e-003	-2.666221e-001	3.965584e-004	-8.642975e-002	-5.520019e-004	1.284901e-001	
7.500000e-005	5.642496e+001	-5.748480e+001	1.123165e-003	-2.630745e-001	4.173743e-004	-8.513368e-002	-5.792774e-004	1.266887e-001	
7.750000e-005	5.797391e+001	-6.010295e+001	1.134134e-003	-2.594801e-001	4.312515e-004	-8.378236e-002	-6.045070e-004	1.248037e-001	
8.000000e-005	5.913905e+001	-6.231672e+001	1.167869e-003	-2.558145e-001	4.507262e-004	-8.237794e-002	-6.294559e-004	1.228388e-001	
8.250000e-005	6.400523e+001	-6.710065e+001	1.183744e-003	-2.520698e-001	4.632076e-004	-8.092263e-002	-6.432237e-004	1.208122e-001	
8.500000e-005	6.700033e+001	-7.006148e+001	1.198662e-003	-2.482762e-001	4.996388e-004	-7.938944e-002	-6.849787e-004	1.186972e-001	
8.750000e-005	7.024902e+001	-7.285782e+001	1.223549e-003	-2.444192e-001	5.196472e-004	-7.776637e-002	-7.097771e-004	1.164763e-001	
9.000000e-005	6.950196e+001	-7.413263e+001	1.242791e-003	-2.404919e-001	5.392862e-004	-7.608017e-002	-7.335491e-004	1.141780e-001	
9.250000e-005	7.335378e+001	-8.039698e+001	1.262916e-003	-2.365019e-001	5.623534e-004	-7.432597e-002	-7.566368e-004	1.118051e-001	
9.500000e-005	7.490959e+001	-8.322759e+001	1.273604e-003	-2.324629e-001	5.808974e-004	-7.250550e-002	-7.828996e-004	1.093536e-001	
9.750000e-005	7.915893e+001	-8.621583e+001	1.309009e-003	-2.283504e-001	6.032667e-004	-7.061989e-002	-8.040919e-004	1.068265e-001	
1.000000e-004	8.338086e+001	-8.828567e+001	1.327430e-003	-2.241523e-001	6.127919e-004	-6.868349e-002	-8.213084e-004	1.042383e-001	
1.025000e-004	8.646506e+001	-9.147953e+001	1.348875e-003	-2.198906e-001	6.465270e-004	-6.667821e-002	-8.688182e-004	1.015470e-001	
1.050000e-004	8.821962e+001	-9.339859e+001	1.369116e-003	-2.155626e-001	6.652764e-004	-6.458935e-002	-8.951631e-004	9.873814e-002	
1.075000e-004	8.924769e+001	-1.001290e+002	1.391369e-003	-2.111670e-001	6.838821e-004	-6.244101e-002	-9.207074e-004	9.584663e-002	
1.100000e-004	9.015239e+001	-1.015889e+002	1.405479e-003	-2.067134e-001	7.021251e-004	-6.023399e-002	-9.460259e-004	9.287413e-002	
1.125000e-004	9.695133e+001	-1.046456e+002	1.414970e-003	-2.022222e-001	7.274230e-004	-5.795764e-002	-9.716181e-004	8.982055e-002	
1.150000e-004	9.849343e+001	-1.077778e+002	1.451278e-003	-1.976581e-001	7.436268e-004	-5.561520e-002	-9.976619e-004	8.668476e-002	
1.175000e-004	1.007689e+002	-1.107661e+002	1.470712e-003	-1.930053e-001	7.605218e-004	-5.322006e-002	-1.013127e-003	8.348286e-002	
1.200000e-004	1.046276e+002	-1.131032e+002	1.490543e-003	-1.882899e-001	7.969120e-004	-5.074007e-002	-1.068170e-003	8.016870e-002	
1.225000e-004	1.066837e+002	-1.172292e+002	1.506336e-003	-1.835178e-001	8.186927e-004	-4.816745e-002	-1.092408e-003	7.672828e-002	
1.250000e-004	1.093704e+002	-1.197445e+002	1.526057e-003	-1.786891e-001	8.397002e-004	-4.552670e-002	-1.112279e-003	7.321764e-002	
1.275000e-004	1.118789e+002	-1.218966e+002	1.542028e-003	-1.738037e-001	8.614809e-004	-4.281781e-002	-1.136708e-003	6.963645e-002	
1.300000e-004	1.159500e+002	-1.268245e+002	1.567415e-003	-1.688523e-001	8.829401e-004	-4.004007e-002	-1.163067e-003	6.597438e-002	
1.325000e-004	1.181980e+002	-1.300731e+002	1.579985e-003	-1.638405e-001	9.039544e-004	-3.719470e-002	-1.189569e-003	6.222815e-002	
1.350000e-004	1.208230e+002	-1.319511e+002	1.614733e-003	-1.587534e-001	9.287255e-004	-3.427642e-002	-1.215654e-003	5.839818e-002	
1.375000e-004	1.251683e+002	-1.351312e+002	1.631608e-003	-1.535841e-001	9.413505e-004	-3.129859e-002	-1.231995e-003	5.450065e-002	
1.400000e-004	1.280469e+002	-1.378179e+002	1.649549e-003	-1.483593e-001	9.810389e-004	-2.823746e-002	-1.282112e-003	5.049729e-002	
1.425000e-004	1.292532e+002	-1.428897e+002	1.666773e-003	-1.430785e-001	1.002252e-003	-2.507936e-002	-1.307020e-003	4.637447e-002	
1.450000e-004	1.301442e+002	-1.453091e+002	1.692406e-003	-1.377295e-001	1.023670e-003	-2.185337e-002	-1.334610e-003	4.216805e-002	
1.475000e-004	1.350926e+002	-1.528071e+002	1.705537e-003	-1.323188e-001	1.046415e-003	-1.855705e-002	-1.360578e-003	3.787635e-002	
1.500000e-004	1.401575e+002	-1.552059e+002	1.724643e-003	-1.268567e-001	1.068107e-003	-1.518998e-002	-1.386171e-003	3.350255e-002	
1.525000e-004	1.448318e+002	-1.587562e+002	1.748750e-003	-1.213258e-001	1.092064e-003	-1.175022e-002	-1.412427e-003	2.904619e-002	
1.550000e-004	1.475459e+002	-1.611961e+002	1.766309e-003	-1.157286e-001	1.105654e-003	-8.250666e-003	-1.427823e-003	2.452349e-002	
1.575000e-004	1.484506e+002	-1.644448e+002	1.783710e-003	-1.100757e-001	1.151665e-003	-4.656210e-003	-1.478097e-003	1.989623e-002	
1.600000e-004	1.498077e+002	-1.678032e+002	1.800324e-003	-1.043686e-001	1.167677e-003	-9.629896e-004	-1.505359e-003	1.514551e-002	
1.625000e-004	1.538103e+002	-1.696948e+002	1.817705e-003	-9.860746e-002	1.191039e-003	2.792927e-003	-1.531923e-003	1.030907e-002	
1.650000e-004	1.547903e+002	-1.723335e+002	1.831377e-003	-9.279681e-002	1.213264e-003	6.621435e-003	-1.561580e-003	5.383111e-003	
1.675000e-004	1.630697e+002	-1.801880e+002	1.841169e-003	-8.694881e-002	1.236496e-003	1.052233e-002	-1.577578e-003	3.844522e-004	
1.700000e-004	1.650505e+002	-1.832927e+002	1.878805e-003	-8.102529e-002	1.257708e-003	1.449399e-002	-1.602007e-003	-4.678582e-003	
1.725000e-004	1.685596e+002	-1.861987e+002	1.896295e-003	-7.501398e-002	1.270942e-003	1.852050e-002	-1.615795e-003	-9.802472e-003	
1.750000e-004	1.706226e+002	-1.895845e+002	1.912431e-003	-6.894913e-002	1.313163e-003	2.263532e-002	-1.665187e-003	-1.502697e-002	
1.775000e-004	1.743373e+002	-1.929154e+002	1.928997e-003	-6.283221e-002	1.337797e-003	2.685659e-002	-1.690772e-003	-2.037085e-002	
1.800000e-004	1.777779e+002	-1.965411e+002	1.944202e-003	-5.666469e-002	1.362157e-003	3.115588e-002	-1.716064e-003	-2.579575e-002	
1.825000e-004	1.797107e+002	-1.994882e+002	1.960584e-003	-5.044688e-002	1.383664e-003	3.552821e-002	-1.742231e-003	-3.130259e-002	
1.850000e-004	1.850155e+002	-2.056497e+002	1.971258e-003	-4.418599e-002	1.403043e-003	3.996564e-002	-1.767070e-003	-3.689064e-002	
1.875000e-004	1.876474e+002	-2.095975e+002	1.981872e-003	-3.789119e-002	1.424838e-003	4.446864e-002	-1.791697e-003	-4.255747e-002	
1.900000e-004	1.909783e+002	-2.132163e+002	2.021779e-003	-3.151595e-002	1.436293e-003	4.902458e-002	-1.806492e-003	-4.828707e-002	
1.925000e-004	1.934045e+002	-2.170818e+002	2.028629e-003	-2.506626e-002	1.481318e-003	5.367045e-002	-1.854302e-003	-5.411636e-002	
1.950000e-004	1.968588e+002	-2.223592e+002	2.038866e-003	-1.858936e-002	1.505816e-003	5.842704e-002	-1.878896e-003	-6.006094e-002	
1.975000e-004	1.998882e+002	-2.238397e+002	2.049965e-003	-1.207848e-002	1.529567e-003	6.326045e-002	-1.902763e-003	-6.608269e-002	
2.000000e-004	2.016222e+002	-2.270678e+002	2.061597e-003	-5.531410e-003	1.551670e-003	6.816688e-002	-1.924045e-003	-7.217634e-002	
2.025000e-004	2.089969e+002	-2.345658e+002	2.073128e-003	1.052547e-003	1.569440e-003	7.313680e-002	-1.955788e-003	-7.835442e-002	
2.050000e-004	2.139659e+002	-2.366357e+002	2.078793e-003	7.663887e-003	1.592911e-003	7.817239e-002	-1.972047e-003	-8.460893e-002	
2.075000e-004	2.183934e+002	-2.399666e+002	2.098001e-003	1.431483e-002	1.616095e-003	8.328227e-002	-2.003476e-003	-9.093938e-002	
2.100000e-004	2.196545e+002	-2.452714e+002	2.107745e-003	2.101188e-002	1.628768e-003	8.844925e-002	-2.004462e-003	-9.732145e-002	
2.125000e-004	2.223686e+002	-2.499457e+002	2.118605e-003	2.774174e-002	1.671070e-003	9.370377e-002	-2.039326e-003	-1.037606e-001	
2.150000e-004	2.256241e+002	-2.530642e+002	2.129937e-003	3.450693e-002	1.693145e-003	9.906080e-002	-2.058677e-003	-1.102861e-001	
2.175000e-004	2.276666e+002	-2.559839e+002	2.139510e-003	4.130542e-002	1.714816e-003	1.044875e-001	-2.077735e-003	-1.168727e-001	
2.200000e-004	2.342119e+002	-2.632900e+002	2.147324e-003	4.813159e-002	1.739683e-003	1.099883e-001	-2.096771e-003	-1.235200e-001	
2.225000e-004	2.368849e+002	-2.674571e+002	2.152114e-003	5.497783e-002	1.761430e-003	1.155633e-001	-2.113468e-003	-1.302242e-001	
2.250000e-004	2.417305e+002	-2.715762e+002	2.164842e-003	6.185196e-002	1.785407e-003	1.212111e-001	-2.130465e-003	-1.369821e-001	
2.275000e-004	2.463362e+002	-2.744548e+002	2.174347e-003	6.876150e-002	1.794399e-003	1.269115e-001	-2.138779e-003	-1.437802e-001	
2.300000e-004	2.500441e+002	-2.793347e+002	2.187047e-003	7.570639e-002	1.831952e-003	1.326859e-001	-2.167013e-003	-1.506366e-001	
2.325000e-004	2.548692e+002	-2.830494e+002	2.200603e-003	8.269310e-002	1.851304e-003	1.385510e-001	-2.178612e-003	-1.575564e-001	
2.350000e-004	2.555409e+002	-2.884296e+002	2.201027e-003	8.970206e-002	1.870970e-003	1.444781e-001	-2.189861e-003	-1.645126e-001	
2.375000e-004	2.576107e+002	-2.909244e+002	2.204250e-003	9.671683e-002	1.892032e-003	1.504702e-001	-2.201775e-003	-1.715056e-001	
2.400000e-004	2.641835e+002	-2.967433e+002	2.208985e-003	1.037443e-001	1.909728e-003	1.565239e-001	-2.211834e-003	-1.785336e-001	
2.425000e-004	2.677474e+002	-3.007870e+002	2.212715e-003	1.107852e-001	1.930715e-003	1.626393e-001	-2.218273e-003	-1.855880e-001	
2.450000e-004	2.714074e+002	-3.044332e+002	2.221241e-003	1.178456e-001	1.938912e-003	1.688011e-001	-2.222885e-003	-1.926599e-001	
2.475000e-004	2.777814e+002	-3.083262e+002	2.225860e-003	1.249270e-001	1.974529e-003	1.750327e-001	-2.259816e-003	-1.997979e-001	
2.500000e-004	2.806599e+002	-3.122739e+002	2.230992e-003	1.320239e-001	1.991568e-003	1.813482e-001	-2.249880e-003	-2.069790e-001	
2.525000e-004	2.842376e+002	-3.153993e+002	2.235405e-003	1.391360e-001	2.004556e-003	1.877114e-001	-2.250400e-003	-2.141450e-001	
2.550000e-004	2.869243e+002	-3.169208e+002	2.235337e-003	1.462550e-001	2.009359e-003	1.941030e-001	-2.248881e-003	-2.213095e-001	
2.575000e-004	2.934628e+002	-3.271329e+002	2.233578e-003	1.533711e-001	2.003173e-003	2.004924e-001	-2.241484e-003	-2.284597e-001	
2.600000e-004	2.963688e+002	-3.305187e+002	2.231348e-003	1.604809e-001	1.985875e-003	2.068444e-001	-2.225512e-003	-2.355728e-001	
2.625000e-004	2.993433e+002	-3.337537e+002	2.218777e-003	1.675671e-001	1.974577e-003	2.131508e-001	-2.207249e-003	-2.426313e-001	
2.650000e-004	3.033802e+002	-3.367419e+002	2.210265e-003	1.746197e-001	1.959591e-003	2.194154e-001	-2.192550e-003	-2.496374e-001	
2.675000e-004	3.061354e+002	-3.400317e+002	2.198981e-003	1.816408e-001	1.910809e-003	2.255785e-001	-2.139998e-003	-2.565363e-001	
2.700000e-004	3.090483e+002	-3.426636e+002	2.193548e-003	1.886352e-001	1.879619e-003	2.316142e-001	-2.105058e-003	-2.632960e-001	
2.725000e-004	3.115568e+002	-3.454051e+002	2.181641e-003	1.956021e-001	1.847998e-003	2.375499e-001	-2.065274e-003	-2.699366e-001	
2.750000e-004	3.151276e+002	-3.501753e+002	2.175537e-003	2.025403e-001	1.817110e-003	2.433861e-001	-2.020371e-003	-2.764424e-001	
2.775000e-004	3.187190e+002	-3.555213e+002	2.162379e-003	2.094478e-001	1.786016e-003	2.491235e-001	-1.973231e-003	-2.828017e-001	
2.800000e-004	3.223515e+002	-3.586397e+002	2.124853e-003	2.162746e-001	1.754977e-003	2.547620e-001	-1.923511e-003	-2.890067e-001	
2.825000e-004	3.247503e+002	-3.614361e+002	2.103989e-003	2.230084e-001	1.736905e-003	2.603224e-001	-1.895312e-003	-2.950876e-001	
2.850000e-004	3.275192e+002	-3.661446e+002	2.080107e-003	2.296710e-001	1.673431e-003	2.657528e-001	-1.795995e-003	-3.009655e-001	
2.875000e-004	3.298221e+002	-3.668711e+002	2.054235e-003	2.362543e-001	1.641831e-003	2.710319e-001	-1.756156e-003	-3.066218e-001	
2.900000e-004	3.330091e+002	-3.710862e+002	2.028861e-003	2.427561e-001	1.609601e-003	2.762093e-001	-1.709488e-003	-3.121403e-001	
2.925000e-004	3.345306e+002	-3.709491e+002	1.996632e-003	2.491661e-001	1.577063e-003	2.812837e-001	-1.638856e-003	-3.174721e-001	
