PiezoResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	Dpp [nm]	Dpp1 [nm]	Dpp2 [nm]	Dpp3 [nm]	Dpp4 [nm]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	d33ls [nm/V]	d33ls+ [nm/V]	d33ls- [nm/V]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Dvmax+ [nm/V]	Dvmax- [nm/V]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	Delay [s]	
1.000000e+000	1.851780e+002	-1.833270e+002	2.882150e-001	-2.984010e-001	2.138740e-001	-2.115560e-001	7.691700e-001	3.437400e-001	4.254300e-001	3.340470e+002	7.767850e+001	7.601570e+001	7.241850e+001	7.408130e+001	7.767850e+001	9.255150e-001	3.228790e+006	9.353380e-010	3.162410e+003	-1.084720e-003	1.156000e-001	-1.050140e-001	0.000000e+000	5.045850e+002	-5.000230e+002	5.576140e-001	-5.576140e-001	5.304130e+001	5.633300e+001	3.358340e-004	-3.400630e-004	1.000000e+002	5.000000e+002	5.000000e+000	1.000000e+000	1.000000e+000	
2.000000e+000	1.877110e+002	-1.884850e+002	2.264880e-001	-3.502760e-001	1.640210e-001	-1.073470e-001	4.882410e-001	2.168740e-001	2.713680e-001	2.728190e+002	7.006610e+001	2.018090e+001	3.650700e+001	2.925090e+001	3.106490e+001	-3.867950e-001	3.302530e+005	6.732920e-010	2.276420e+003	1.974670e-002	5.224780e-002	-1.013580e-001	0.000000e+000	3.825390e+002	-4.108320e+002	3.808950e-001	-3.808950e-001	2.902420e+001	1.587260e+001	2.230410e-003	-2.356340e-003	1.000000e+003	5.000000e+002	4.000000e+000	1.000000e+000	1.000000e+000	
3.000000e+000	1.692060e+002	-1.715130e+002	3.030930e-001	-2.944880e-001	2.441870e-001	-2.324010e-001	8.315360e-001	3.549480e-001	4.765880e-001	3.359350e+002	4.741460e+001	4.734790e+001	3.669630e+001	3.676290e+001	4.741460e+001	-1.153760e+000	3.165510e+007	1.032410e-009	3.490630e+003	-2.107050e-003	6.442500e-002	-7.271410e-002	0.000000e+000	5.013950e+002	-4.968520e+002	5.991350e-001	-5.991350e-001	3.853560e+001	4.175540e+001	3.660430e-005	-3.695380e-005	1.000000e+001	5.000000e+002	6.000000e+000	1.000000e+000	1.000000e+000	
4.000000e+000	1.671040e+002	-1.699660e+002	3.364000e-001	-3.256080e-001	2.917070e-001	-2.769630e-001	9.341020e-001	3.654320e-001	5.686700e-001	3.723870e+002	1.364340e+002	5.580560e+001	5.816360e+001	1.364340e+002	1.340760e+002	-1.430900e+000	2.854790e+008	1.139480e-009	3.852610e+003	-7.072180e-002	9.095610e-002	-2.379420e-001	0.000000e+000	5.002880e+002	-4.959190e+002	6.571390e-001	-6.571390e-001	4.656360e+001	1.154020e+002	4.247880e-006	-4.198050e-006	1.000000e+000	5.000000e+002	7.000000e+000	1.000000e+000	1.000000e+000	
5.000000e+000	3.895110e+002	-4.192100e+002	1.041650e+000	-1.007810e+000	8.674200e-001	-9.521910e-001	2.550070e+000	7.304570e-001	1.819610e+000	2.449780e+003	7.549320e+001	6.956050e+001	7.549320e+001	6.914860e+001	6.384650e+001	-1.484960e+001	1.736880e+008	1.304020e-009	4.408930e+003	4.314810e-003	7.269170e-002	-6.141580e-002	1.000000e+000	9.990600e+002	-9.941050e+002	1.597880e+000	-1.597880e+000	6.429750e+001	5.535820e+001	1.257510e-005	-2.165780e-005	1.000000e+000	1.000000e+003	6.000000e+000	1.000000e+000	1.000000e+000	

Piezo
Program: aixPlorer Software version 3.0.63.0
TimeStamp: 02/15/2024 15:17:50
TfaModule: PZM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.12.0

Table 1
Timestamp: 02/15/2024 15:17:58
Number Of Ceramic Layers: 1
TableVersion: 4.12.0
DOffset [nm]: -16.8528
AUX-Offset [*]: 0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO-500V_100Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Current Range: 5 (1mA)
Hysteresis Frequency [Hz]: 100
Hysteresis Amplitude [V]: 500
Delay [s]: 1
DisplacementChannelFactor [nm/V]: -15480
Dpp [nm]: 77.6785
d33ls [nm/V]: -0.00108472
d33ls+ [nm/V]: 0.1156
d33ls- [nm/V]: -0.105014
Dpp1 [nm]: 76.0157
Dpp2 [nm]: 72.4185
Dpp3 [nm]: 74.0813
Dpp4 [nm]: 77.6785
Cls [F]: 9.35338e-010
Epsls [1]: 3162.41
Vc+ [V]: 185.178
Vc- [V]: -183.327
Pr+ [uC/cm2]: 0.288215
Pr- [uC/cm2]: -0.298401
Prrel+ [uC/cm2]: 0.213874
Prrel- [uC/cm2]: -0.211556
Vmax+ [V]: 504.585
Vmax- [V]: -500.023
Pvmax+ [uC/cm2]: 0.557614
Pvmax- [uC/cm2]: -0.557614
Dvmax+ [nm/V]: 53.0413
Dvmax- [nm/V]: 56.333
Ipk+ [A]: 0.000335834
Ipk- [A]: -0.000340063
Psw [uC/cm2]: 0.76917
Pnsw [uC/cm2]: 0.34374
dPsw [uC/cm2]: 0.42543
Wloss [uJ/cm2]: 334.047
VcShift [V]: 0.925515
Rav [Ohm]: 3.22879e+006
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	D1 [nm]	D2 [nm]	D3 [nm]	CH3 [V]	
6.750000e-004	1.256253e+002	-1.203595e+002	2.682934e-004	-1.053742e-001	2.317577e-004	-1.112143e-001	-2.336659e-004	1.139314e-001	-7.160405e+000	2.756084e+000	-1.171851e+000	0.000000e+000	
7.000000e-004	1.296596e+002	-1.250424e+002	2.705650e-004	-9.679362e-002	2.372369e-004	-1.037463e-001	-2.381595e-004	1.064182e-001	-6.753178e+000	6.520784e-001	9.212433e+000	0.000000e+000	
7.250000e-004	1.332972e+002	-1.307312e+002	2.749782e-004	-8.810662e-002	2.460928e-004	-9.604993e-002	-2.468294e-004	9.869549e-002	-5.293948e+000	-3.318383e+000	2.119899e+000	0.000000e+000	
7.500000e-004	1.386178e+002	-1.369940e+002	2.781859e-004	-7.929828e-002	2.522822e-004	-8.811402e-002	-2.543508e-004	9.071491e-002	-1.201319e+001	-2.232445e+000	7.481719e+000	0.000000e+000	
7.750000e-004	1.446396e+002	-1.404081e+002	2.800340e-004	-7.040943e-002	2.573328e-004	-7.999913e-002	-2.575646e-004	8.256339e-002	-1.075757e+001	7.538851e-001	1.240238e+001	0.000000e+000	
8.000000e-004	1.496972e+002	-1.458624e+002	2.852492e-004	-6.140810e-002	2.652257e-004	-7.167814e-002	-2.656688e-004	7.423165e-002	-5.124271e+000	-7.392799e-001	3.918484e+000	0.000000e+000	
8.250000e-004	1.547286e+002	-1.511786e+002	2.874774e-004	-5.228825e-002	2.709659e-004	-6.314006e-002	-2.691606e-004	6.571526e-002	-1.197926e+001	-4.677953e-001	8.669463e+000	0.000000e+000	
8.500000e-004	1.599834e+002	-1.571631e+002	2.907102e-004	-4.308144e-002	2.747333e-004	-5.445058e-002	-2.748442e-004	5.705277e-002	-1.143629e+001	2.787871e-001	4.189969e+000	0.000000e+000	
8.750000e-004	1.627971e+002	-1.619227e+002	2.959061e-004	-3.374042e-002	2.820612e-004	-4.558442e-002	-2.795781e-004	4.822439e-002	-6.447758e+000	2.448516e-001	1.271510e+000	0.000000e+000	
9.000000e-004	1.695968e+002	-1.665180e+002	2.963882e-004	-2.430898e-002	2.854449e-004	-3.654770e-002	-2.859711e-004	3.921883e-002	-9.841314e+000	7.199495e-001	8.397979e+000	0.000000e+000	
9.250000e-004	1.735544e+002	-1.711549e+002	2.999731e-004	-1.481278e-002	2.898657e-004	-2.738670e-002	-2.900835e-004	3.004598e-002	-2.545168e+000	3.909893e+000	1.321683e+001	0.000000e+000	
9.500000e-004	1.801482e+002	-1.766683e+002	3.035658e-004	-5.202287e-003	2.947253e-004	-1.807793e-002	-2.949137e-004	2.073074e-002	-3.156008e+000	8.050032e+000	1.342044e+001	0.000000e+000	
9.750000e-004	1.857843e+002	-1.818048e+002	3.047263e-004	4.483893e-003	3.002724e-004	-8.603445e-003	-3.021773e-004	1.122292e-002	-4.920657e+000	4.894024e+000	1.433670e+001	0.000000e+000	
1.000000e-003	1.904803e+002	-1.865688e+002	3.077515e-004	1.423672e-002	3.034622e-004	1.010163e-003	-3.042942e-004	1.565733e-003	3.291750e+000	1.066307e+001	1.284354e+001	0.000000e+000	
1.025000e-003	1.957659e+002	-1.937169e+002	3.113876e-004	2.409563e-002	3.091709e-004	1.076547e-002	-3.091054e-004	-8.201776e-003	-2.409425e+000	7.914290e+000	1.073953e+001	0.000000e+000	
1.050000e-003	1.994561e+002	-1.967629e+002	3.144668e-004	3.406146e-002	3.129251e-004	2.067146e-002	-3.138099e-004	-1.812081e-002	-3.054201e-001	8.389388e+000	1.141824e+001	0.000000e+000	
1.075000e-003	2.057189e+002	-2.013866e+002	3.156909e-004	4.409582e-002	3.150526e-004	3.067110e-002	-3.138374e-004	-2.811519e-002	2.375490e+000	1.409056e+001	1.291141e+001	0.000000e+000	
1.100000e-003	2.113573e+002	-2.077919e+002	3.200733e-004	5.421945e-002	3.196633e-004	4.077804e-002	-3.195916e-004	-3.820164e-002	2.646974e+000	8.389388e+000	1.528690e+001	0.000000e+000	
1.125000e-003	2.171906e+002	-2.140197e+002	3.215885e-004	6.443700e-002	3.228026e-004	5.100839e-002	-3.213757e-004	-4.840813e-002	2.205812e+000	1.120604e+001	1.800174e+001	0.000000e+000	
1.150000e-003	2.224214e+002	-2.192307e+002	3.223514e-004	7.469082e-002	3.242058e-004	6.131107e-002	-3.233873e-004	-5.867505e-002	8.585698e+000	1.792528e+001	2.153104e+001	0.000000e+000	
1.175000e-003	2.281627e+002	-2.246478e+002	3.259164e-004	8.501355e-002	3.289603e-004	7.171181e-002	-3.280835e-004	-6.904879e-002	7.126469e-001	1.473534e+001	1.749271e+001	0.000000e+000	
1.200000e-003	2.318595e+002	-2.282898e+002	3.263129e-004	9.539937e-002	3.293466e-004	8.219440e-002	-3.283816e-004	-7.950206e-002	8.517827e+000	6.998029e+000	1.756058e+001	0.000000e+000	
1.225000e-003	2.376622e+002	-2.332028e+002	3.284367e-004	1.058253e-001	3.318219e-004	9.272256e-002	-3.315779e-004	-9.001097e-002	6.379887e+000	1.235985e+001	2.058085e+001	0.000000e+000	
1.250000e-003	2.424196e+002	-2.391544e+002	3.312632e-004	1.163301e-001	3.355384e-004	1.033493e-001	-3.333362e-004	-1.005988e-001	7.397954e+000	1.344579e+001	2.438163e+001	0.000000e+000	
1.275000e-003	2.476875e+002	-2.439666e+002	3.308612e-004	1.268735e-001	3.361543e-004	1.140451e-001	-3.379045e-004	-1.112873e-001	1.041822e+001	2.342284e+001	1.915555e+001	0.000000e+000	
1.300000e-003	2.535034e+002	-2.484304e+002	3.332686e-004	1.374488e-001	3.380136e-004	1.247802e-001	-3.374507e-004	-1.220414e-001	1.041822e+001	1.527831e+001	2.085233e+001	0.000000e+000	
1.325000e-003	2.582937e+002	-2.540534e+002	3.347364e-004	1.480858e-001	3.403240e-004	1.355818e-001	-3.389212e-004	-1.328116e-001	1.764649e+001	1.846825e+001	2.692680e+001	0.000000e+000	
1.350000e-003	2.625931e+002	-2.591198e+002	3.347000e-004	1.587456e-001	3.421332e-004	1.464489e-001	-3.435288e-004	-1.436787e-001	1.540675e+001	2.620556e+001	2.387260e+001	0.000000e+000	
