 10.05336712   0.02043000  80.03531375
   51.00     57.00     39.00     44.00     53.00     56.00     48.00     44.00  
   56.00     46.00     61.00     61.00     46.00     53.00     54.00     45.00  
   49.00     41.00     49.00     48.00     55.00     65.00     42.00     46.00  
   53.00     70.00     49.01     37.00     55.00     56.00     43.00     66.00  
   52.00     57.00     49.00     46.00     50.00     46.00     54.00     63.00  
   61.00     43.00     50.00     55.00     38.00     58.00     38.00     57.00  
   60.00     51.00     42.00     46.00     58.00     56.00     45.00     53.00  
   64.00     43.00     58.00     43.00     56.00     44.00     44.00     46.00  
   56.00     59.00     53.00     38.00     48.00     54.00     45.00     44.00  
   60.00     56.00     52.00     62.00     41.00     50.00     49.00     58.00  
   51.00     55.00     59.00     43.00     47.00     56.00     49.00     57.00  
   66.00     55.00     74.00     52.00     47.00     48.00     56.00     61.00  
   51.00     56.00     53.00     59.00     54.00     50.00     49.00     55.00  
   57.00     63.00     48.00     50.00     61.00     49.00     52.00     71.00  
   49.01     53.00     64.00     53.00     53.00     50.00     48.00     55.00  
   53.00     66.00     61.00     57.00     62.00     53.00     56.00     50.00  
   50.00     65.00     50.00     52.00     64.00     57.00     61.00     59.00  
   60.00     54.00     66.00     66.00     51.00     56.00     65.00     52.00  
   60.00     55.00     45.00     59.00     47.00     51.00     41.00     47.00  
   53.00     46.00     54.00     49.00     57.00     67.00     59.00     48.00  
   42.00     53.00     53.00     60.00     42.00     51.00     66.00     74.00  
   60.00     46.00     59.00     61.00     55.00     50.00     73.00     59.00  
   67.00     55.00     56.00     65.00     67.00     70.00     52.00     50.00  
   57.00     54.00     71.00     74.00     61.00     67.00     68.00     54.00  
   56.00     52.00     57.00     58.00     47.00     56.00     42.00     66.99  
   53.00     60.00     69.00     71.00     61.00     63.00     61.00     60.00  
   72.00     66.00     67.00     54.00     59.00     67.00     51.00     59.00  
   54.00     65.00     56.00     61.00     59.00     71.00     61.00     53.00  
   56.00     64.00     55.00     58.00     59.00     62.00     51.00     57.00  
   80.00     54.01     69.00     58.00     56.00     59.00     60.00     68.00  
   51.00     44.00     58.00     64.00     51.00     56.00     65.00     71.00  
   57.00     72.00     77.00     55.01     62.00     58.00     51.00     60.00  
   56.00     63.00     66.00     45.00     43.00     45.00     53.00     63.00  
   52.00     56.00     55.00     67.00     63.00     60.00     70.00     57.00  
   62.00     43.00     47.00     46.00     46.00     48.00     66.00     55.00  
   58.00     54.00     59.00     59.00     58.00     64.00     52.00     53.00  
   64.00     54.00     66.00     58.00     48.00     60.00     59.00     60.00  
   50.00     51.00     67.00     55.00     48.00     73.00     65.00     55.00  
   52.00     52.00     64.00     71.00     51.00     45.00     67.00     65.00  
   64.00     46.00     59.00     57.00     65.00     48.00     57.00     54.00  
   58.00     60.00     73.00     61.00     67.00     51.00     51.00     57.00  
   53.00     55.00     52.00     41.00     42.00     48.00     47.00     46.00  
   45.00     52.00     57.00     54.00     66.00     57.00     46.00     46.00  
   59.00     51.00     60.00     59.00     51.00     75.00     45.00     49.00  
   47.00     65.00     56.00     51.00     52.00     53.00     41.00     49.00  
   47.00     51.00     44.00     63.00     46.00     46.00     65.00     48.00  
   48.00     66.00     45.00     48.00     50.00     48.00     55.00     43.00  
   59.00     44.00     63.00     48.00     55.00     67.00     51.00     47.00  
   52.00     45.00     53.00     63.00     62.00     45.00     46.00     56.00  
   54.00     48.00     59.00     51.00     51.00     50.00     48.00     49.00  
   49.00     54.00     43.00     49.00     45.00     44.00     50.00     57.00  
   51.00     44.00     43.00     55.00     41.00     43.00     49.00     48.00  
   44.00     47.00     52.00     48.00     48.00     49.00     55.00     42.00  
   40.00     53.00     43.00     49.00     44.00     51.00     47.00     44.00  
   46.00     49.00     52.00     45.00     43.00     45.00     46.00     60.00  
   42.00     56.00     38.00     46.00     49.00     41.00     49.00     60.00  
   53.00     47.00     44.00     49.00     52.00     45.00     53.00     52.00  
   54.00     62.00     51.00     47.00     48.00     43.00     55.00     55.00  
   44.00     61.00     49.00     57.00     42.00     58.00     44.00     46.00  
   45.00     42.00     43.00     40.00     42.00     42.00     43.00     48.00  
   57.00     49.00     46.00     49.00     42.00     42.00     32.00     45.00  
   51.00     50.00     56.00     45.00     48.00     41.00     45.00     36.00  
   46.00     45.00     50.00     53.00     52.00     47.00     55.00     44.00  
   53.00     52.00     36.00     40.00     51.00     57.00     44.00     51.00  
   43.00     49.00     52.00     60.00     56.00     44.00     55.00     37.00  
   45.00     54.00     50.00     50.00     43.00     51.00     50.00     43.00  
   48.00     47.00     41.00     49.00     57.00     41.00     57.00     34.00  
   46.00     39.00     46.00     45.00     38.00     44.00     48.00     39.00  
   34.00     56.99     49.00     53.00     45.00     35.00     48.00     60.00  
   51.00     49.00     46.00     44.00     50.00     65.00     49.00     43.00  
   50.00     57.00     52.00     67.00     51.00     54.00     57.00     60.00  
   54.00     38.00     71.00     63.00     62.00     60.00     72.00     73.00  
   54.00     66.00     79.00     81.00     85.00    101.00     81.00    102.00  
  117.00    138.00    182.00    228.00    253.00    298.00    328.00    348.00  
  373.00    429.99    409.00    460.99    539.98    489.01    488.00    448.99  
  389.99    332.99    265.99    173.00    145.00    125.00     99.00    103.00  
   85.00     64.00     73.00     62.00     59.00     63.00     50.00     51.00  
   50.00     52.00     55.00     48.00     49.00     36.00     59.00     51.00  
   41.00     39.00     48.00     44.00     50.00     49.00     44.00     57.00  
   39.00     48.00     51.00     47.00     49.00     46.00     44.00     40.00  
   43.00     51.00     45.00     38.00     40.00     43.00     52.00     36.00  
   55.00     52.00     40.00     48.00     39.00     43.00     42.00     46.00  
   46.00     46.00     42.00     45.00     45.00     45.00     55.00     39.00  
   34.00     50.00     47.00     34.00     48.00     56.00     43.00     56.00  
   46.00     54.00     66.00     49.00     47.00     54.00     53.00     62.00  
   54.00     52.00     65.00     71.00     57.00     42.00     51.00     63.00  
   52.00     63.00     51.00     50.00     52.00     46.00     53.00     40.00  
   39.00     51.00     48.00     50.00     42.00     47.00     37.00     47.00  
   45.00     48.00     34.00     36.00     34.00     39.00     41.00     35.00  
   34.00     43.00     48.00     39.00     40.00     43.00     38.00     62.99  
   35.01     41.00     35.00     43.00     45.00     33.00     41.00     51.00  
   47.00     35.00     33.00     30.00     37.00     45.00     38.00     33.00  
   39.00     37.00     48.00     47.00     43.00     41.00     42.00     38.00  
   28.00     51.00     47.00     39.00     37.00     44.00     42.00     29.00  
   38.00     26.00     37.00     39.00     35.00     47.00     38.00     31.00  
   43.00     30.00     45.00     41.00     32.00     37.00     36.00     49.00  
   33.00     24.00     31.00     50.99     37.00     40.00     30.00     34.00  
   39.00     28.00     39.00     46.00     44.00     37.00     41.00     35.00  
   41.00     49.00     45.00     37.00     42.00     40.00     32.00     41.00  
   37.00     43.00     34.00     37.00     48.00     44.00     29.00     35.00  
   31.00     54.00     37.00     34.00     49.00     46.00     31.00     37.00  
   27.00     34.00     39.00     33.00     39.00     35.00     23.00     43.00  
   45.00     40.00     43.00     51.00     42.00     38.00     35.00     32.00  
   41.00     25.00     39.00     36.00     38.00     28.00     37.00     44.00  
   40.00     32.00     40.00     36.00     43.00     24.00     44.00     31.00  
   33.00     34.00     28.00     47.00     31.00     37.00     31.00     34.00  
   38.00     36.00     35.00     40.00     47.00     35.00     25.00     37.00  
   29.00     40.00     40.00     55.00     35.00     33.00     39.00     43.00  
   41.00     40.00     39.00     41.00     57.00     32.00     32.00     36.00  
   45.00     42.00     53.00     39.00     42.00     41.00     44.00     30.00  
   41.00     30.00     34.00     25.00     32.00     45.00     32.00     28.00  
   35.00     43.00     31.00     37.00     37.00     39.00     27.00     35.00  
   50.00     36.00     34.00     39.00     35.00     39.00     42.00     43.00  
   42.00     40.00     30.00     34.00     24.00     39.00     30.00     34.00  
   38.00     40.00     38.00     37.00     35.00     46.00     39.00     46.00  
   30.00     40.00     45.00     31.00     30.00     36.00     48.00     42.00  
   34.00     42.00     32.00     39.00     25.00     44.00     38.00     53.00  
   39.00     40.00     42.00     29.00     36.00     38.00     32.00     45.00  
   52.00     39.00     39.00     29.00     38.00     39.00     41.00     49.00  
   45.00     36.00     48.00     34.00     42.00     31.00     60.99     40.00  
