index,bin start,count
0,2.501,19
1,6.671,14
2,10.840,12
3,15.010,11
4,19.180,9
5,23.350,6
6,27.520,11
7,31.690,9
8,35.859,3
9,40.029,2
10,44.199,2
11,48.369,3
12,52.539,2
13,56.708,1
14,60.878,3
